threads	time
13	48755
2	155656
10	42923
21	43746
1	298160
4	84420
13	47741
8	47159
6	56625
22	43599
19	43204
23	44723
9	50378
17	42935
24	45734
10	44479
3	105634
18	43043
21	43491
18	43020
9	50287
24	45516
23	44610
11	44165
7	55830
8	49085
7	56139
12	45659
6	55760
5	65435
3	104585
22	43580
19	42904
12	46101
11	44419
16	43478
2	155539
4	85000
20	42658
17	43526
15	43781
14	50039
15	43816
14	49939
1	296569
16	42950
5	65862
20	42824
