threads	time
13	40394
2	152271
10	36848
21	36985
1	303934
4	83897
13	41036
8	45491
6	55487
22	37747
19	35684
23	38864
9	46069
17	35274
24	39672
10	37416
3	104652
18	34630
21	36343
18	34978
9	45402
24	38916
23	37995
11	37710
7	54624
8	45334
7	54826
12	39221
6	55489
5	64715
3	104376
22	36890
19	34979
12	38724
11	37689
